Year,State,Astronomical Low Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Freezing Fog,Frost/Freeze,Funnel Cloud,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind,Hurricane,Hurricane (Typhoon),Ice Storm,Lake-Effect Snow,Lakeshore Flood,Landslide,Lightning,Marine Dense Fog,Marine Hail,Marine High Wind,Marine Hurricane/Typhoon,Marine Strong Wind,Marine Thunderstorm Wind,Marine Tropical Depression,Marine Tropical Storm,Rip Current,Seiche,Sleet,Sneakerwave,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Waterspout,Wildfire,Winter Storm,Winter Weather
2011,MAINE,0,0,0,962000,0,0,0,0,0,0,0,0,5748000,448000,0,0,0,0,0,30000,0,0,251000,0,0,2509000,0,0,0,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,1475000,0,0,0,0,0,0,0,680000
2011,MARYLAND,0,0,0,11150000,100000,0,0,0,0,0,0,0,28767500,7491000,0,0,0,22000,0,0,100000,0,27824520,0,0,0,0,0,0,614510,0,0,0,0,0,0,0,0,0,0,0,0,0,885020,4734100,515500,0,5595000,0,0,0,0,0
2011,MASSACHUSETTS,0,0,1104000,40914000,0,50000,0,0,0,0,0,0,10271000,26915000,0,0,0,3005000,0,9094000,0,0,10079600,0,0,0,0,0,0,4605000,0,0,0,0,0,0,0,0,0,0,0,0,75000,2570500,12029200,233202000,0,34737000,0,0,0,6579500,1936900
2011,MICHIGAN,0,0,0,0,0,0,0,0,0,0,0,0,1947862000,200913500,0,132800000,0,93505500,0,66000,25015000,0,602613500,0,0,52455000,15000,10000,0,1318500,0,0,0,0,0,0,0,0,0,2000,0,0,0,1185260,69671460,32902500,0,0,0,0,12030000,5685000,459000
2011,MINNESOTA,0,0,1050000,0,0,0,42000,0,0,0,1198500,0,51786500,61394000,5000,460000,0,8036550,0,30000,127500,0,372000,0,0,20000,0,0,0,12554900,0,0,0,0,0,0,0,0,0,0,0,0,0,47800,62109450,183186000,0,0,0,0,110000,71022500,55000
2011,MISSISSIPPI,0,0,0,0,0,0,0,15023600,0,0,0,0,59835000,1021918000,0,0,100,56446800,0,71000,9680000,0,910000,0,0,16965000,0,0,0,5772000,0,0,0,0,0,0,0,0,0,0,2098000,0,4830000,2426700,5481210000,890079000,0,7430000,0,0,0,0,118000
2011,MISSOURI,0,0,140000,0,0,0,0,188616950,1000,0,4400000,0,510199000,327497000,420000,100000,0,17381100,0,19000,0,0,393000,0,0,850000,0,0,0,5131000,0,0,0,0,0,0,0,0,0,0,0,0,0,267000,22278000,3167935250,0,0,0,0,1619000,1244000,1014000
2011,MONTANA,0,319500,450000,0,0,5000,0,0,2000,0,0,0,911000,22258000,0,50000,0,854200,0,40000,22800,0,715300,0,0,0,0,0,0,121000,0,0,0,0,0,0,0,0,0,0,0,0,0,344000,8474500,625000,0,0,0,0,10000,39000,3000
2011,NEBRASKA,0,0,200000,0,0,0,0,441310000,0,0,0,0,37517000,266897000,0,0,0,574366250,2000000,955000,35000,0,21145000,0,0,374000,0,0,0,1794050,0,0,0,0,0,0,0,0,0,0,0,0,0,38000,301369250,96718000,0,0,0,0,2624612000,395000,1110000
2011,NEVADA,0,0,0,0,0,42000,0,0,139000,1525000,25000,0,44747000,18021000,0,8725000,0,100021600,0,1912000,128000,0,4147500,0,0,0,0,0,0,1836500,0,0,0,0,0,0,0,0,0,0,0,0,0,952800,4372700,2000,0,0,0,0,45005500,250000,80000
2011,NEW HAMPSHIRE,0,0,0,627500,0,0,0,0,0,0,0,0,42249000,13945000,0,0,0,10000,0,44000,0,0,1899600,0,0,718000,0,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,176500,705500,0,2500,0,0,0,0,0,0
2011,NEW JERSEY,0,0,0,20955545000,250000,0,1000000,0,500,0,0,0,31280010,790067260,0,0,0,31000,0,0,0,120040000,3907352030,0,0,0,0,0,0,4585700,0,0,0,0,0,0,0,0,0,0,0,0,0,23074290,45549020,400000,0,37000000,0,0,326000,300000,0
2011,NEW MEXICO,0,0,401003000,0,50000,0,70000,0,40000,0,0,1175000,40755000,7632500,50000,0,0,4940220,0,270000,310000,0,6953000,0,0,350000,0,0,0,155100,0,0,0,0,0,0,0,0,0,0,0,0,0,209500,10936400,371000,0,0,0,0,70323500,15000,620000
2011,NEW YORK,0,0,32812000,0,0,0,2000000,0,0,0,0,0,482444500,845064000,0,500000,0,2866500,215000,20000,1309000,0,38175000,0,0,4315000,18943,5000000,0,1560000,0,0,0,0,0,0,0,0,0,200000,0,0,0,5188000,22242250,14914500,0,0,0,0,0,5239000,350000
2011,NORTH CAROLINA,0,0,0,8100000,0,5635000,45000,0,0,0,0,0,130076500,800159500,0,0,0,13602450,0,1413000,0,0,47544900,174170000,0,22212000,0,0,0,6148000,0,0,0,0,0,0,0,0,0,0,0,0,251800000,37737450,28263100,481483500,0,249644200,0,0,2542000,9500000,180000
2011,NORTH DAKOTA,3450000,0,0,0,0,0,0,0,0,0,700000,0,13108000,162267000,0,0,0,88627000,0,20000,7952000,0,1168000,0,0,2050000,0,0,0,348000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45753800,157570000,0,0,0,0,5460000,0,0
2011,OHIO,0,0,0,0,0,0,0,0,0,0,0,16155000,157936000,50478500,0,0,0,104014850,0,46000,3860000,0,0,0,0,285000,9825000,0,2000,112000,0,0,0,0,0,0,0,0,0,0,0,0,0,89220950,0,24233500,0,0,0,0,0,39580000,345000
2011,OKLAHOMA,0,0,31540000,0,0,0,0,613000000,0,200000,0,0,15337000,705000,0,0,0,56576100,0,0,0,0,417200,0,0,43408000,0,0,0,4010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15167300,2116609500,0,0,0,0,63976000,0,150000
2011,OREGON,0,0,0,5681000,0,0,0,0,0,0,0,0,414000,58487000,50000,0,0,200,0,5846000,100355000,1660000,5563500,0,0,59000,0,0,0,317100,0,0,0,0,0,0,0,0,0,0,0,0,0,13772500,601000,1126500,0,0,7500000,0,332000,225000,80000
2011,PENNSYLVANIA,0,0,0,300000,250000,15000,0,0,0,0,35000,950000,121659600,298263500,0,0,0,896500,0,0,1195000,0,22085010,0,0,0,6555000,0,15000,3012260,0,0,0,0,0,0,0,0,0,0,0,0,0,1532030,41416300,23763000,0,3585000,0,0,13500,7630000,1640000
2011,RHODE ISLAND,0,0,50000,11020000,0,0,0,0,0,0,0,0,1916000,188000,0,0,0,0,0,0,105000,0,517500,0,0,0,0,0,0,364000,0,0,0,0,0,0,0,0,0,0,0,0,0,402200,1285000,50000,0,250000,0,0,0,0,0
2011,SOUTH CAROLINA,0,0,0,0,750000000,0,0,0,0,0,0,0,170081980,28732000,0,0,0,5438930,0,1173200,18000,205000,8891000,134000000,0,770500,0,0,0,5027800,0,0,0,0,0,0,0,0,0,0,0,0,0,352650,15845930,7893000,10500,323250,0,0,3550000,29000,9000
2011,SOUTH DAKOTA,0,0,1488000,0,0,0,0,0,0,0,30000,0,4908000,17596000,0,0,0,88527500,0,10000,0,0,59000,0,0,7570000,0,0,0,205000,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,9521300,1436000,0,0,0,0,0,80065000,125000
2011,TENNESSEE,0,0,0,0,0,0,0,25000,0,0,0,0,160255000,2012267000,500000,0,21000,6274000,0,15500,0,0,13290002,0,0,245000,0,0,0,4973000,0,0,0,0,0,0,0,0,0,0,0,0,0,1778000,54266870,171199000,0,0,0,0,70000,64670000,217000
2011,TEXAS,0,0,45915000,185000,0,0,6079000,5924730000,0,12600000,200000,6650000,2927714400,349184700,0,11010000,0,6943892320,0,1311500,3556000,0,27855500,0,0,42370000,0,0,0,20076710,0,0,0,0,0,0,0,0,0,0,686000,100000,1300000,514800,582843650,1132559000,502000,0,0,0,537972900,30431000,5872000
2011,UTAH,0,0,0,0,40000,300000,0,0,1000,0,0,0,34555000,14060000,0,0,0,139000,0,62000,0,0,87912000,0,0,0,0,0,12000000,170200,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,1255500,2310000,0,0,0,0,24510000,403000,100000
2011,VERMONT,0,0,75000,0,0,0,0,0,0,0,0,0,308752000,1073640500,0,1150000,0,327000,9650000,50000,410000,0,2530000,0,0,4300000,0,9750000,0,3377000,0,0,0,0,0,0,0,0,0,0,0,0,0,2087500,6360000,20000,0,0,0,0,0,5912500,1615000
2011,VIRGINIA,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,0,0,0,0,0,0,0,0
2011,WASHINGTON,0,0,0,573000,0,63512500,0,0,3500,165000,0,0,5575430,42483500,0,0,0,82750,0,38115500,55000,15000,25450000,0,0,6970000,0,0,898000,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,8170700,16593910,565000,0,0,0,0,342985500,0,5890000
2011,WEST VIRGINIA,0,0,22000000,0,8000,1040000,0,0,0,0,0,3765000,110475000,97678000,0,0,0,6251000,0,950000,10045000,0,600800,0,0,85000,0,0,30000,965000,0,0,0,0,0,0,0,0,0,0,0,0,0,1559500,67038800,3989000,0,0,0,0,50000,427000,691000
2011,WISCONSIN,0,0,64000,0,0,0,85000,0,500,0,76000,0,93911500,69896000,0,250000,0,45715200,0,885500,10000,0,1110500,0,0,0,0,0,0,8532700,0,0,0,0,0,0,0,0,0,0,0,0,0,327100,36272700,124760300,0,0,0,0,277000,3458200,95100
2011,WYOMING,0,0,1150000,0,0,0,0,0,0,0,0,0,7533000,9235500,0,0,0,14263200,0,18500,15000,0,910000,0,0,0,0,0,952000,245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054000,144000,0,0,0,0,6515000,3887000,25000
